run,outcome,valid,planner_attempts,latency_ms
1,valid_first_attempt,True,1,31646.49
2,valid_first_attempt,True,1,32430.81
3,valid_first_attempt,True,1,38078.37
4,valid_first_attempt,True,1,30207.74
5,valid_first_attempt,True,1,45254.24
6,valid_first_attempt,True,1,29431.92
7,valid_first_attempt,True,1,35173.37
8,valid_first_attempt,True,1,50968.93
9,valid_first_attempt,True,1,36866.65
10,valid_first_attempt,True,1,21640.12
11,valid_first_attempt,True,1,35171.26
12,valid_first_attempt,True,1,29950.95
13,valid_first_attempt,True,1,35550.96
14,valid_first_attempt,True,1,35570.52
15,valid_first_attempt,True,1,36980.63
16,valid_first_attempt,True,1,32717.26
17,valid_first_attempt,True,1,30177.63
18,valid_first_attempt,True,1,40472.24
19,valid_first_attempt,True,1,33953.27
20,valid_first_attempt,True,1,15927.58
