run,outcome,valid,planner_attempts,latency_ms
1,valid_first_attempt,True,1,29853.44
2,valid_first_attempt,True,1,29454.43
3,valid_first_attempt,True,1,22946.27
4,valid_first_attempt,True,1,33010.78
5,valid_after_1_retry,True,2,66333.7
6,valid_first_attempt,True,1,27321.66
7,valid_first_attempt,True,1,40169.27
8,valid_first_attempt,True,1,68143.25
9,valid_first_attempt,True,1,26842.12
10,valid_first_attempt,True,1,46308.69
11,valid_first_attempt,True,1,41625.57
12,valid_first_attempt,True,1,28665.64
13,valid_first_attempt,True,1,34425.58
14,valid_first_attempt,True,1,21820.36
15,valid_first_attempt,True,1,35497.79
16,valid_first_attempt,True,1,64461.19
17,valid_first_attempt,True,1,16762.9
18,valid_first_attempt,True,1,35306.99
19,valid_first_attempt,True,1,29550.2
20,valid_first_attempt,True,1,21922.76
